,KNN1,KNN3,KNN5,RandomForestClassifier
0,0.639561147,0.613426531,0.589960508,0.695799471
1,0.651042357,0.626180808,0.591567018,0.698825007
2,0.658650925,0.628275243,0.596148411,0.711599155
3,0.629202136,0.618329078,0.580064567,0.684401833
4,0.653289402,0.628197156,0.585426452,0.696096251
5,0.642473227,0.624216447,0.591827609,0.709888368
6,0.649022566,0.625209678,0.590672694,0.701272668
7,0.652589521,0.626216457,0.589622112,0.706391632
8,0.650802951,0.627536682,0.589776473,0.706780615
9,0.645713644,0.626876932,0.583600114,0.697107028
10,0.644526902,0.630581238,0.584996472,0.699138175
11,0.64544835,0.633019115,0.584418405,0.695406397
12,0.636272505,0.615104428,0.580802766,0.694774576
13,0.635418626,0.611763735,0.571906059,0.707829711
14,0.6483165,0.631149953,0.587252066,0.704527337
15,0.650694804,0.622081609,0.593338934,0.717417304
16,0.653179351,0.62046978,0.591450178,0.695173622
17,0.637088428,0.623458152,0.587407877,0.701146876
18,0.646102628,0.626060646,0.589038999,0.699321263
19,0.654610714,0.628896675,0.584415675,0.708567548
20,0.658926696,0.635895893,0.594271624,0.701815363
21,0.646768913,0.621402326,0.586749226,0.687287378
22,0.64998739,0.626410949,0.586047522,0.706119416
23,0.643343599,0.626061008,0.59723655,0.706197502
24,0.647500939,0.615105515,0.591137191,0.702001481
