,NN_Smote
0,0.7107611600328414
1,0.7117389915027466
2,0.7331105600964143
3,0.6712253107791737
4,0.696057569561378
5,0.7158430944053571
6,0.69613324971578
7,0.7126901027880354
8,0.7377994693011016
9,0.7096822292687364
10,0.7237173103542253
11,0.6793349252550371
12,0.7133066425775892
13,0.6773547453634504
14,0.6866841899486078
15,0.7067426632937305
16,0.7036389033202834
17,0.7087021610960675
18,0.7111569062058725
19,0.7272211828795072
20,0.7102561787147073
21,0.7035692522170607
22,0.704328859388707
23,0.7096055014988639
24,0.7275750183802414
