,KNN1,KNN3,KNN5,RandomForestClassifier
0,0.6501058551593057,0.6181971162589869,0.5885269076956402,0.6336522047714175
1,0.6592387252163441,0.6319304206310734,0.597744318679973,0.6494142061440787
2,0.6657975684091028,0.6293622953035358,0.6011592687327181,0.6391935050803386
3,0.6319973099080826,0.6183673961149478,0.5838325620697764,0.6231483424084077
4,0.6602032352848457,0.632664307038627,0.5919140706953546,0.6488280489912699
5,0.6504581929576957,0.6283272351327293,0.5870535855664196,0.6387768467558592
6,0.6598607847442165,0.6264137634202913,0.5930036961277247,0.6355836164664267
7,0.6622999778603696,0.6279639837855291,0.5892718090759439,0.6426896462260989
8,0.6584542588351076,0.6308770119977954,0.5999934052164737,0.6539169934164493
9,0.6515389760765168,0.6276921301404434,0.5809578524486033,0.6295195555260843
10,0.6535602856849695,0.6350806477152241,0.5900399515232412,0.6288816197477103
11,0.6515079056266498,0.6318532519185301,0.5823203581207933,0.6301444902626128
12,0.6462164965973454,0.6196493024567018,0.5794033677602775,0.6377554255682656
13,0.6407779742926643,0.612656657814438,0.5772675818921739,0.6325504383175765
14,0.660357959052192,0.6341407051417932,0.5888448693127691,0.6494885238084367
15,0.6585623242495812,0.6275897144869468,0.5946948097764962,0.6450604756071674
16,0.6628910153156345,0.6238494434795336,0.5947910756738858,0.6524440744210717
17,0.6438077700319267,0.6253611278094411,0.5854651333432617,0.6346475432438435
18,0.6565126023776732,0.6279249404929492,0.5862026076933585,0.6374839342739235
19,0.6586881562398429,0.6309160552903752,0.5850757874696939,0.6458759774864236
20,0.6655920695583943,0.6389202610882805,0.5914769902787703,0.6437823236451599
21,0.6499147158923347,0.6253647399124551,0.5901678365153653,0.6385747192399353
22,0.652083045717431,0.6284306915427699,0.5846484853557758,0.6483620659355153
23,0.6556576357990939,0.6319655136303668,0.5937400466780227,0.6430789920996668
24,0.6537542979327527,0.6167756798877582,0.5891163606071115,0.6284711842383225
