,NN_tl
0,0.681753371865492
1,0.6324235939172216
2,0.7241053288387348
3,0.6340664232394374
4,0.6785179818368066
5,0.669404628745082
6,0.6434547345722353
7,0.6563684773695655
8,0.7069161342828372
9,0.6671042051890801
10,0.692201897701878
11,0.6534712696897964
12,0.7015449186287054
13,0.6322945281051918
14,0.6679116132326144
15,0.6791547222584653
16,0.6654077841130996
17,0.6862410349896748
18,0.6567767560694655
19,0.72317046392128
20,0.6932556537368165
21,0.6767130005006909
22,0.6576125180586552
23,0.6694983471370848
24,0.6876355418248781
